Pollinator Library ID,Determined By,Order,Family,Genus,Species,Origin Facility,Date,Time,Collected By,Plant Order,Plant Family,Plant Genus,Plant Species,Land Use,State Collected,County Collected,Elevation (m),Longitude,Latitude,Average Wind Speed (km/h),Air temperature (°C),Relative Humidity (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_033,Sara Clark,Diptera,Chironomidae,N/A,N/A,Northern Prairie Wildlife Research Center,20120612,N/A,Russ Bryant,Asterales,Asteraceae,Erigeron,sp.,Conservation Reserve Program,North Dakota,Logan,602,-99.41,46.39,16,22,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_034,Sara Clark,Hymenoptera,Halictidae,Halictus,confusus,Northern Prairie Wildlife Research Center,20120612,N/A,Russ Bryant,Asterales,Asteraceae,Tragopogon,dubius,National Wildlife Refuge,North Dakota,McIntosh,632,-99.29,46.14,16,22,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_035,Sara Clark,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20120612,N/A,Russ Bryant,Asterales,Asteraceae,Tragopogon,dubius,National Wildlife Refuge,North Dakota,McIntosh,632,-99.29,46.14,16,22,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_036,Sara Clark,Hymenoptera,Megachilidae,Megachile,lapponica,Northern Prairie Wildlife Research Center,20120612,N/A,Russ Bryant,Asterales,Asteraceae,Tragopogon,dubius,National Wildlife Refuge,North Dakota,McIntosh,632,-99.29,46.14,16,22,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_037,Sara Clark,Hymenoptera,Halictidae,Agapostemon,virescens,Northern Prairie Wildlife Research Center,20120612,N/A,Russ Bryant,Asterales,Asteraceae,Achillea,millefolium,National Wildlife Refuge,North Dakota,McIntosh,632,-99.29,46.14,16,22,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_038,Sara Clark,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20120612,N/A,Russ Bryant,Fabales,Fabaceae,Melilotus,officinalis,National Wildlife Refuge,North Dakota,McIntosh,639,-99.29,46.14,16,22,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_039,Sara Clark,Hymenoptera,Halictidae,Halictus,confusus,Northern Prairie Wildlife Research Center,20120612,N/A,Russ Bryant,Fabales,Fabaceae,Melilotus,officinalis,National Wildlife Refuge,North Dakota,McIntosh,637,-99.29,46.14,16,22,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_040,Sara Clark,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20120612,N/A,Russ Bryant,Fabales,Fabaceae,Melilotus,officinalis,National Wildlife Refuge,North Dakota,McIntosh,637,-99.29,46.14,16,22,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_041,Sara Clark,Hymenoptera,Halictidae,Halictus,confusus,Northern Prairie Wildlife Research Center,20120612,N/A,Russ Bryant,Fabales,Fabaceae,Melilotus,officinalis,Conservation Reserve Program,North Dakota,Logan,610,-99.40,46.39,16,22,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_042,Sara Clark,Hymenoptera,Crabronidae,N/A,N/A,Northern Prairie Wildlife Research Center,20120618,N/A,Russ Bryant,Asterales,Asteraceae,Rudbeckia,hirta,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,6,26,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
